Marque / Modèle,Temps 0-100km/h,Vitesse maximale,Coût recharge 100% de la batterie,Coût au 100km (WLTP),Prix du véhicule (TTC - Bonus écologique 6k€ ou 2k€ Inclus),Capacité Batterie brute,Capacité Batterie utile,Puissance/couple moteur(s) ch,Puissance/couple moteur(s) kW,Puissance/couple moteur(s) Nm,Poids à Vide,Poids Cx,Poids Scx,Autonomie,Consommation construsteur (cycle WLTP),Estimation autonomie ville,conso. réelle en ville (à 23°C et -10°C),Estimation autonomie autoroute,conso. réelle autoroute (à 23°C et -10°)
mg zs long range suv (chine) (fwd) (2021),"8,6 sec.",175 km/h,"6,53€ @ 6,6kW","2,48 €",28990 - 30990 € !,74 kWh , 72 kWh,177 ch , 130 kW , 280Nm,1620kg,"0,36","0,71",440,"163,6 Wh/km",,,,
tesla model x plaid (awd) (2021),"2,6 sec.",262 km/h,"14€@11-17kW / 22,8€ (SUC)","2,76€/4,49€ (SUC)",119 990 €,95kWh , 90kWh,1033 ch , 760 kW , >1000 Nm,2455kg,"0,24","0,62",547,"164,5 Wh/km",650-445 km,138-202 Wh/km,420-330 km,214-273 Wh/km
porsche taycan (rwd) (2020),"5,4 sec.",230 km/h,"10,47€ @ 11kW","2,43 €",81 520 €,"79,2 kWh ", 71 kWh,408 ch, 300 kW , 345 Nm,2205kg," 0,25 ","0,57",431,"164,7 Wh/km",560-375 km,127-189 Wh/km,370-290 km,192-245 Wh/km
bmw ix xdrive50 suv (awd) (2021),"4,6 sec.",200 km/h,"15,5€ @ 11kW","2,46 €",96 000 €,"111,5 kWh "," 105,2 kWh",523 ch , 385 kW , 765 Nm,2585kg," 0,25 "," 0,71",630,167 Wh/km,720-500 km,146-210 Wh/km,350-275 km,465-365 Wh/km
bmw ix xdrive40 suv (awd) (2021),"6,1 sec.",200 km/h,"10,47€ @ 11kW","2,46 €",75 300 €,"76,6 kWh ", 71 kWh,326 ch , 240 kW , 630 Nm,2440kg," 0,25 "," 0,71",425,167 Wh/km,500-345 km,142-206 Wh/km,320-255 km,222-278 Wh/km
skoda enyaq - vision iv 80x/vrs suv (awd) (2021),7 sec.,160 km/h,"11,4€ @ 11kW","2,27 €",> 39 000 - 41500 €,82 kWh , 77 kWh,265 ch , 195 kW , 425 Nm,2050kg,"0,29","0,75",460,"167,4 Wh/km",585-400 km,132-193 Wh/km,365-285 km,211-270 Wh/km
Volvo XC40 Recharge,"7,4 sec.",160 km/h,11€ @ 11kW,"2,60 €",38 930 €,69 kWh , 67 kWh,231 ch , 170 kW , 330 Nm,2023kg,"0,33","0,86",400,"167,5 Wh/km",470-325 km,143-206 Wh/km,280-225 km,239-298 Wh/km
hyundai ioniq 5 project 45 (awd) (2021),"5,2 sec.",185 km/h,"10,71€ @ 11kW","2,49 €",57 500 €,"77,4 kWh "," 72,6 kWh",306 ch , 225 kW , 605 Nm,2095kg, ?, ?,430,169 Wh/km,540-370 km,134-196 Wh/km,335-265 km,217-274 Wh/km
ford mustang mach-e sr (awd) (2021),"6,3 sec.",180 km/h,"10,33€ @ 11kW","2,46 €",55 665 €,"75,7 kWh ", 68 kWh,269 ch , 198 kW , 580 Nm,2086kg,"0,29","0,77",400,170 Wh/km,485-335 km,140-203 Wh/km,300-235 km,227-289 Wh/km
porsche taycan plus (rwd) (2020),"5,4 sec.",230 km/h,"10,47€ @ 11kW","2,43 €",89 000 €,"93,4 kWh "," 83,7 kWh",476 ch, 350 kW , 357 Nm,2205kg," 0,25 ","0,57",484,"172,9 Wh/km",645-435 km,130-192 Wh/km,430-335 km,195-250 Wh/km
